"37.842211, -122.23913",37.842211,-122.23913,Kaffa Ethiopian Cuisine,37.85343,-122.27873,2987 Sacramento,94702,4.5,155,$$,Ethiopian,xuhSbAI7Pvp1lIgm6kY7Lg
"37.842211, -122.23913",37.842211,-122.23913,Graffiti pizza,37.8004424569302,-122.275464981794,719 Washington St,94607,5.0,44,$,Pizza,yar1f9iswB0LQAPI8VX0RA
"37.842211, -122.23913",37.842211,-122.23913,Autobahn Cafe,37.7990798950195,-122.278175354004,571 5th St,94607,4.5,150,$,Sandwiches,anP7VKq3hoP9DKW-UvWf9g
"37.842211, -122.23913",37.842211,-122.23913,Zachary's Chicago Pizza,37.846393,-122.252132,5801 College Ave,94618,4.5,3528,$$,Pizza,JsqK99Ka8gIgu1ZtzDupRg
"37.842211, -122.23913",37.842211,-122.23913,A+ Burger,37.84852,-122.26038,6228 Telegraph Ave,94609,4.5,300,$$,Burgers,shRP4Vxu2hDdmdsHf-5DmQ
"37.842211, -122.23913",37.842211,-122.23913,Kiraku,37.863683,-122.258976,2566B Telegraph Ave,94704,4.5,1063,$$,Japanese,vZpuRwoCD4upNRP5CScjDQ
"37.842211, -122.23913",37.842211,-122.23913,Cinnaholic,37.870290678604,-122.266062498093,2132 Oxford St,94704,4.5,1595,$,Vegan,2u4DSD6F8RyFXp-Crhj8OA
"37.842211, -122.23913",37.842211,-122.23913,Mad Seoul,37.87457,-122.26833,1801 Shattuck Ave,94709,4.5,98,$$,Korean,FUD0L7ivnnFmhrbVHoo0fg
"37.842211, -122.23913",37.842211,-122.23913,MY Coffee Roastery,37.87077,-122.27312,2080 Martin Luther King Jr,94704,5.0,52,$,Coffee & Tea,fhOYxni7GhmMSJyIRcIDew
"37.842211, -122.23913",37.842211,-122.23913,Shangri-La Vegan,37.8312072,-122.2767442,4001 Linden St,94608,4.5,642,$$,Vegetarian,_EDGkMgYMcXF-UUSgU2nBA
"37.842211, -122.23913",37.842211,-122.23913,Zachary's Chicago Pizza,37.8915170720653,-122.278572382025,1853 Solano Ave,94707,4.5,1939,$$,Pizza,h9kWFoDv2PYBfvX3xtQwug
"37.842211, -122.23913",37.842211,-122.23913,Sip & Slide,37.8133905393292,-122.268768846989,Telegraph Ave,94612,4.5,92,$,Food Trucks,K6B5bN07dWAoC6vlT-USNw
"37.842211, -122.23913",37.842211,-122.23913,Cafe Umami,37.800323,-122.2154309,2224 MacArthur Blvd,94602,4.5,177,$$,Breakfast & Brunch,CeUBcrV1JHr2mTFiaCHGUg
"37.842211, -122.23913",37.842211,-122.23913,Hancook,37.83186,-122.26417,4315 Telegraph Ave,94609,4.5,582,$$,Korean,GUgEBsvYNkYk-s4YyIMW9w
"37.842211, -122.23913",37.842211,-122.23913,Cafe Romanat,37.8119459,-122.2481638,462 Santa Clara Ave,94610,4.5,319,$$,Ethiopian,VR2vxLt3a-M4QM0FCeksXg
"37.842211, -122.23913",37.842211,-122.23913,The Butchers Son,37.8715428393541,-122.271646200946,1954 University Ave,94704,4.5,1208,$$,Vegan,Se9nvLiXHWI5ltMSo8klCw
"37.842211, -122.23913",37.842211,-122.23913,Sierra Deli & Market,37.794013433608,-122.2686054112,311 Oak St,94607,4.5,368,$$,Delis,LN7S7FSZnEbcYuCc1t2H5w
